"date","country","channel_id","device_type","exit_clicks","revenue_loc"
"2025-05-02","CZ","17","mobile","1950","10894.61"
"2025-05-02","CZ","66","mobile","166","981.02"
"2025-05-02","CZ","35","mobile","169","943.73"
"2025-05-02","CZ","12","mobile","153","983.89"
"2025-05-02","CZ","6","pc","609","3846.61"
"2025-05-02","CZ","9","tablet","9","66.63"
"2025-05-02","CZ","17","tablet","7","86.05"
"2025-05-02","CZ","2","mobile","11","67.13"
"2025-05-02","CZ","16","pc","4","51.73"
"2025-05-06","CZ","68","pc","6","28"
"2025-07-04","CZ","42","pc","2","51"
"2025-07-04","CZ","9","tablet","3","34.8"
"2025-05-14","CZ","66","tablet","2","7.54"
"2025-05-19","CZ","57","tablet","5","23.94"
"2025-06-02","CZ","22","mobile","17861","100664.44"
"2025-06-02","CZ","67","mobile","2418","13511.26"
"2025-06-02","CZ","22","pc","4990","31741.51"
"2025-06-02","CZ","29","pc","1618","7255.74"
"2025-06-02","CZ","52","pc","11","69.28"
"2025-06-02","CZ","9","tablet","2","16.83"
"2025-06-02","CZ","16","mobile","64","393.43"
"2025-06-02","CZ","64","pc","28","147.7"
"2025-06-02","CZ","20","pc","218","1792.41"
"2025-06-02","CZ","66","pc","93","663.11"
"2025-06-02","CZ","27","tablet","219","1095.57"
"2025-06-02","CZ","28","tablet","40","222.76"
"2025-06-02","CZ","67","tablet","5","28.72"
"2025-05-31","CZ","38","pc","13","80.49"
"2025-06-21","CZ","11","tablet","6","31.35"
"2025-06-21","CZ","45","mobile","1","4.24"
"2025-06-13","CZ","23","mobile","2748","16596.71"
"2025-06-13","CZ","27","mobile","4228","24768.47"
"2025-06-13","CZ","20","mobile","614","3468.09"
"2025-06-13","CZ","69","mobile","233","957.18"
"2025-06-13","CZ","34","tablet","74","383.43"
"2025-06-13","CZ","27","tablet","272","1494.67"
"2025-06-13","CZ","23","tablet","11","74.21"
"2025-06-13","CZ","70","pc","11","57.79"
"2025-06-13","CZ","11","tablet","1","6.56"
